Time,,prod16.dc4,prod08.ld5,prod11.dc4,prod34.dc4,prod40.la3,prod50.dc4,prod14.dc4,prod81.dc4,prod03.dc4,prod41.la3
2018/12/10 12:44:00,PST,17.3417,3.3933,4.2533,3.6717,2.8167,4.2567,2.485,2.6733,2.2583,1.985
2018/12/10 12:45:00,PST,1.685,2.86,2.7617,2.7833,2.6317,1.7483,2.5733,3.81,1.795,2.27
2018/12/10 12:46:00,PST,3.9483,3.8183,5.1733,3.16,2.6717,4.3633,2.8983,2.3183,1.46,2.0183
2018/12/10 12:47:00,PST,15.7433,4.46,3.4333,2.8233,2.8683,1.9667,2.8717,2.4417,1.6467,2.3333
2018/12/10 12:48:00,PST,1.7133,2.9633,2.6483,2.4267,2.9933,4.2617,3.0533,2.09,1.8133,2.2267
2018/12/10 12:49:00,PST,6.335,3.6517,5.405,4.24,2.8883,1.9417,2.8767,2.01,1.74,2.6433
2018/12/10 12:50:00,PST,13.5433,4.2133,2.2883,3.23,2.645,4.155,2.9517,2.2833,2.6533,2.265
2018/12/10 12:51:00,PST,18.2417,2.9683,4.035,3.7383,2.7717,1.825,2.61,2.8817,3.4267,2.0967
2018/12/10 12:52:00,PST,7.88,4.815,4.09,4.655,2.8967,4.0717,2.8033,2.34,1.48,1.9967
2018/12/10 12:53:00,PST,14.1667,4.29,3.225,3.705,2.8467,1.8233,2.805,2.2083,2.025,2.1167
2018/12/10 12:54:00,PST,17.93,2.8633,6.4867,4.0133,2.7483,2.1167,2.8417,2.3083,1.8433,1.9883
2018/12/10 12:55:00,PST,7.0733,5.36,2.3217,2.2517,2.6667,4.1017,3.1117,2.375,1.8783,2.185
2018/12/10 12:56:00,PST,12.6683,3.9633,3.8983,2.5517,2.8133,2.1967,2.8083,2.1133,1.6967,2.1467
2018/12/10 12:57:00,PST,1.8833,2.9683,3.2217,2.5083,2.7667,2.195,2.665,2.2433,1.3617,2.26
2018/12/10 12:58:00,PST,1.88,3.495,3.11,2.165,2.79,5.2533,2.8383,1.9217,2.1967,1.96
2018/12/10 12:59:00,PST,19.9217,3.26,4.2067,3.01,3.07,2.13,3.02,2.0017,2.2767,2.0067
2018/12/10 13:00:00,PST,1.7917,3.135,2.1433,3.0217,2.655,4.5917,3.2283,2.275,1.7583,2.395
2018/12/10 13:01:00,PST,1.5083,4.0383,5.2817,3.5467,2.7617,2.6833,3.1667,2.4767,1.325,2.2383
2018/12/10 13:02:00,PST,3.4367,3.515,4.77,2.3483,2.825,2.8583,3.1833,2.4783,1.6117,2.2317
